epoch,lr-SGD,lr-SGD-1,step,val_acc_top1,val_acc_top5,val_loss
,8e-05,8e-05,0,,,
0,,,546,0.02031249925494194,0.3453125059604645,3.406115770339966
,0.0008718243354902004,0.0008718243354902004,547,,,
1,,,1093,0.01684027723968029,0.3932291567325592,3.0830655097961426
,0.0016625519268383096,0.0016625519268383096,1094,,,
2,,,1640,0.014583333395421505,0.4072916805744171,2.9804348945617676
,0.002451032992917384,0.002451032992917384,1641,,,
3,,,2187,0.01267361082136631,0.4177083373069763,2.937554359436035
,0.0032361081900830063,0.0032361081900830063,2188,,,
4,,,2734,0.013194444589316845,0.4281249940395355,2.8747453689575195
,0.004016620199064568,0.004016620199064568,2735,,,
5,,,3281,0.011631944216787815,0.4494791626930237,2.818716526031494
,0.004791417720911978,0.004791417720911978,3282,,,
6,,,3828,0.00989583320915699,0.43871527910232544,2.7920405864715576
,0.005559358095395369,0.005559358095395369,3829,,,
7,,,4375,0.00920138880610466,0.4722222089767456,2.7564642429351807
,0.006319309502422001,0.006319309502422001,4376,,,
8,,,4922,0.009027778171002865,0.4618055522441864,2.756105661392212
,0.0070701529934701635,0.0070701529934701635,4923,,,
9,,,5469,0.009027778171002865,0.45711806416511536,2.751354217529297
,0.007810784435419419,0.007810784435419419,5470,,,
10,,,6016,0.0086805559694767,0.4546875059604645,2.745666265487671
,0.007770881721825777,0.007770881721825777,6017,,,
11,,,6563,0.009027778171002865,0.44843751192092896,2.7411327362060547
,0.007727337890400038,0.007727337890400038,6564,,,
12,,,7110,0.008159722201526165,0.47083333134651184,2.7126736640930176
,0.007680195913646708,0.007680195913646708,7111,,,
13,,,7657,0.007465277798473835,0.4739583432674408,2.7115139961242676
,0.007629502315005324,0.007629502315005324,7658,,,
14,,,8204,0.0078125,0.4678819477558136,2.691601037979126
,0.00757530712293743,0.00757530712293743,8205,,,
15,,,8751,0.006770833395421505,0.46145832538604736,2.6928977966308594
,0.0075176638215545336,0.0075176638215545336,8752,,,
16,,,9298,0.00850694440305233,0.4678819477558136,2.6890056133270264
,0.007456629297835741,0.007456629297835741,9299,,,
17,,,9845,0.0078125,0.4782986044883728,2.6560404300689697
,0.007392263785487173,0.007392263785487173,9846,,,
18,,,10392,0.007465277798473835,0.46215277910232544,2.6602623462677
,0.007324630805498576,0.007324630805498576,10393,,,
19,,,10939,0.009027778171002865,0.4685764014720917,2.6781225204467773
,0.007253797103455771,0.007253797103455771,10940,,,
20,,,11486,0.011111111380159855,0.47100692987442017,2.6880152225494385
,0.007179832583670815,0.007179832583670815,11487,,,
21,,,12033,0.008159722201526165,0.47274306416511536,2.670616626739502
,0.007102810240194895,0.007102810240194895,12034,,,
22,,,12580,0.00850694440305233,0.4602430462837219,2.669774293899536
,0.0070228060847819995,0.0070228060847819995,12581,,,
23,,,13127,0.010937499813735485,0.47951388359069824,2.647437810897827
,0.006939899071874502,0.006939899071874502,13128,,,
24,,,13674,0.0072916666977107525,0.4685764014720917,2.649653196334839
,0.006854171020684657,0.006854171020684657,13675,,,
25,,,14221,0.006770833395421505,0.46493056416511536,2.652405023574829
,0.006765706534448918,0.006765706534448918,14222,,,
26,,,14768,0.01059027761220932,0.4706597328186035,2.6314830780029297
,0.00667459291693475,0.00667459291693475,14769,,,
27,,,15315,0.006770833395421505,0.46753472089767456,2.64678692817688
,0.006580920086282362,0.006580920086282362,15316,,,
28,,,15862,0.0069444444961845875,0.4677083194255829,2.6443779468536377
,0.006484780486266347,0.006484780486266347,15863,,,
29,,,16409,0.00850694440305233,0.4626736044883728,2.65521502494812
,0.006386268995064849,0.006386268995064849,16410,,,
30,,,16956,0.008159722201526165,0.47100692987442017,2.632146120071411
,0.006285482831626245,0.006285482831626245,16957,,,
31,,,17503,0.008333333767950535,0.4784722328186035,2.6408658027648926
,0.006182521459725788,0.006182521459725788,17504,,,
32,,,18050,0.01006944477558136,0.4654513895511627,2.663578748703003
,0.006077486489806869,0.006077486489806869,18051,,,
33,,,18597,0.009722222574055195,0.4703125059604645,2.641932964324951
,0.00597048157870377,0.00597048157870377,18598,,,
34,,,19144,0.00920138880610466,0.4637152850627899,2.6459603309631348
,0.005861612327344892,0.005861612327344892,19145,,,
35,,,19691,0.0086805559694767,0.4677083194255829,2.6390950679779053
,0.0057509861765373815,0.0057509861765373815,19692,,,
36,,,20238,0.009722222574055195,0.4730902910232544,2.63358736038208
